Magic Number;Month;Symbol;Entry;TP;SL;SL Type;Risk;Direction;Type;Open Time;Close Time
110501;5;S&P 500;9 TDOM;12 TDOM;5;Percentage;0.5;Long;Short-term;08:30;20:45
100502;5;EURUSD;19.05;23.02;2.39;Percentage;1;Short;Seasonal;15:25;20:45
100501;5;GBPUSD;11.05;05.07;7;Points;0.75;Long;Seasonal;08:30;20:45
120502;5;S&P 500;PMH;23 TD;150;Points;0.25;Long;Breakout;;
120502;5;S&P 500;PML;46 TD;150;Points;3;Long;Breakout;;
